"coachID","fullName","year","tmID","lgID","stint","won","lost","post_wins","post_losses","playerCoach"
"hillmli99w","Linda Hill-MacDonald","1997","CLE","WNBA","0","15","13","0","0",""
"hillmli99w","Linda Hill-MacDonald","1998","CLE","WNBA","0","20","10","1","2",""
"hillmli99w","Linda Hill-MacDonald","1999","CLE","WNBA","0","7","25","0","0",""
"holdeta99w","Tammy Holder","1998","SER","ABL","2","9","14","0","0",""
"holdeta99w","Tammy Holder","1999","SER","ABL","0","8","7","0","0",""
"hugheda99w","Dan Hughes","1999","CHA","WNBA","2","10","10","2","2",""
"hugheda99w","Dan Hughes","2000","CLE","WNBA","0","17","15","3","3",""
"hugheda99w","Dan Hughes","2001","CLE","WNBA","0","22","10","1","2",""
"hugheda99w","Dan Hughes","2002","CLE","WNBA","0","10","22","0","0",""
"hugheda99w","Dan Hughes","2003","CLE","WNBA","0","17","17","1","2",""
"hugheda99w","Dan Hughes","2005","SAS","WNBA","0","7","27","0","0",""
"hugheda99w","Dan Hughes","2006","SAS","WNBA","0","13","21","0","0",""
"hugheda99w","Dan Hughes","2007","SAS","WNBA","0","20","14","2","3",""
"hugheda99w","Dan Hughes","2008","SAS","WNBA","0","24","10","4","5",""
"hugheda99w","Dan Hughes","2009","SAS","WNBA","0","15","19","1","2",""
"hugheda99w","Dan Hughes","2011","SAS","WNBA","0","18","16","1","2",""
"hugheda99w","Dan Hughes","2012","SAS","WNBA","0","21","13","0","2",""
"hullaja99w","Jacquie Hullah","1997","SER","ABL","0","17","23","0","0",""
"hullaja99w","Jacquie Hullah","1998","SER","ABL","1","6","15","0","0",""
"jenkica99w","Carolyn Jenkins","2006","MIN","WNBA","2","1","10","0","0",""
"joneskc01w","K.C. Jones","1998","NEW","ABL","0","24","20","0","2",""
"joneskc01w","K.C. Jones","1999","NEW","ABL","0","3","10","0","0",""
"kenlaje99w","Jessie Kenlaw","2008","WAS","WNBA","2","2","10","0","0",""
"keyst99wc","Steven Key","2008","CHI","WNBA","0","12","22","0","0",""
"keyst99wc","Steven Key","2009","CHI","WNBA","0","16","18","0","0",""
"keyst99wc","Steven Key","2010","CHI","WNBA","0","14","20","0","0",""
"kloppga99w","Gary Kloppenburg","2012","TUL","WNBA","0","9","25","0","0",""
"laceytr99w","Trudi Lacey","2003","CHA","WNBA","0","18","16","0","2",""
"laceytr99w","Trudi Lacey","2004","CHA","WNBA","0","16","18","0","0",""
"laceytr99w","Trudi Lacey","2005","CHA","WNBA","1","3","21","0","0",""
"laceytr99w","Trudi Lacey","2011","WAS","WNBA","0","6","28","0","0",""
"laceytr99w","Trudi Lacey","2012","WAS","WNBA","0","5","29","0","0",""
"laimbbi01w","Bill Laimbeer","2002","DET","WNBA","2","9","13","0","0",""
"laimbbi01w","Bill Laimbeer","2003","DET","WNBA","0","25","9","6","2",""
"laimbbi01w","Bill Laimbeer","2004","DET","WNBA","0","17","17","1","2",""
"laimbbi01w","Bill Laimbeer","2005","DET","WNBA","0","16","18","0","2",""
"laimbbi01w","Bill Laimbeer","2006","DET","WNBA","0","23","11","7","3",""
"laimbbi01w","Bill Laimbeer","2007","DET","WNBA","0","24","10","6","5",""
"laimbbi01w","Bill Laimbeer","2008","DET","WNBA","0","22","12","7","2",""
"laimbbi01w","Bill Laimbeer","2009","DET","WNBA","1","1","2","0","0",""
"laydefr99w","Frank Layden","1998","UTA","WNBA","2","2","9","0","0",""
"laydefr99w","Frank Layden","1999","UTA","WNBA","1","2","2","0","0",""
"lewisji99w","Jim Lewis","1998","WAS","WNBA","1","2","16","0","0",""
"liebena01w","Nancy Lieberman-Cline","1998","DET","WNBA","0","17","13","0","0",""
"liebena01w","Nancy Lieberman-Cline","1999","DET","WNBA","0","15","17","0","1",""
"liebena01w","Nancy Lieberman-Cline","2000","DET","WNBA","0","14","18","0","0",""
"lowreja99w","Jan Lowrey","1997","SJL","ABL","0","18","22","0","2",""
"maherto99w","Tom Maher","2001","WAS","WNBA","0","10","22","0","0",""
"mahorri01w","Rick Mahorn","2009","DET","WNBA","2","17","14","3","2",""
"mcconsu01w","Suzie McConnell Serio","2003","MIN","WNBA","0","18","16","1","2",""
"mcconsu01w","Suzie McConnell-Serio","2004","MIN","WNBA","0","18","16","0","2",""
"mcconsu01w","Suzie McConnell-Serio","2005","MIN","WNBA","0","14","20","0","0",""
"mcconsu01w","Suzie McConnell-Serio","2006","MIN","WNBA","1","9","14","0","0",""
"mchugma99w","Maura McHugh","1998","LON","ABL","0","26","18","6","4",""
"mchugma99w","Maura McHugh","2001","SAC","WNBA","2","14","6","3","2",""
"mchugma99w","Maura McHugh","2002","SAC","WNBA","0","14","18","0","0",""
"mchugma99w","Maura McHugh","2003","SAC","WNBA","1","7","11","0","0",""
"meadoma99w","Marynell Meadors","1997","CHA","WNBA","0","15","13","0","1",""
"meadoma99w","Marynell Meadors","1998","CHA","WNBA","0","18","12","0","2",""
"meadoma99w","Marynell Meadors","1999","CHA","WNBA","1","5","7","0","0",""
"meadoma99w","Marynell Meadors","2008","ATL","WNBA","0","4","30","0","0",""
"meadoma99w","Marynell Meadors","2009","ATL","WNBA","0","18","16","0","2",""
"meadoma99w","Marynell Meadors","2010","ATL","WNBA","0","19","15","4","3",""
"meadoma99w","Marynell Meadors","2011","ATL","WNBA","0","20","14","4","4",""
"meadoma99w","Marynell Meadors","2012","ATL","WNBA","0","12","12","0","0",""
"millech99w","Cheryl Miller","1997","PHO","WNBA","0","16","12","0","1",""
"millech99w","Cheryl Miller","1998","PHO","WNBA","0","19","11","3","3",""
"millech99w","Cheryl Miller","1999","PHO","WNBA","0","15","17","0","0",""
"millech99w","Cheryl Miller","2000","PHO","WNBA","0","20","12","0","2",""
"murphma99w","Mary Murphy","1997","SAC","WNBA","1","5","10","0","0",""
"overtbo99w","Bo Overton","2007","CHI","WNBA","0","14","20","0","0",""
"parsoca99w","Cathy Parson","1998","WAS","WNBA","2","1","11","0","0",""
"peckca99wc","Carolyn Peck","1999","ORL","WNBA","0","15","17","0","0",""
"peckca99wc","Carolyn Peck","2000","ORL","WNBA","0","16","16","1","2",""
"peckca99wc","Carolyn Peck","2001","ORL","WNBA","0","13","19","0","0",""
"plankju99w","Julie Plank","2009","WAS","WNBA","0","16","18","0","2",""
"plankju99w","Julie Plank","2010","WAS","WNBA","0","22","12","0","2",""
"reevech99w","Cheryl Reeve","2010","MIN","WNBA","0","13","21","0","0",""
"reevech99w","Cheryl Reeve","2011","MIN","WNBA","0","27","7","7","1",""
"reevech99w","Cheryl Reeve","2012","MIN","WNBA","0","27","7","5","4",""
"richano99w","Nolan Richardson","2010","TUL","WNBA","0","6","28","0","0",""
"richano99w","Nolan Richardson","2011","TUL","WNBA","0","1","10","0","0",""
"robertr99w","Trish Roberts","1997","ATG","ABL","0","18","22","0","0",""
"rollitr01w","Tree Rollins","2007","WAS","WNBA","2","16","14","0","0",""
"rollitr01w","Tree Rollins","2008","WAS","WNBA","1","8","14","0","0",""
"rossca99wc","Carol Ross","2012","LAS","WNBA","0","24","10","2","2",""
"rothsro99w","Ron Rothstein","2000","MIA","WNBA","0","13","19","0","0",""
"rothsro99w","Ron Rothstein","2001","MIA","WNBA","0","20","12","1","2",""
"rothsro99w","Ron Rothstein","2002","MIA","WNBA","0","15","17","0","0",""
"roussju99w","Julie Rousseau","1997","LAS","WNBA","2","10","7","0","0",""
"roussju99w","Julie Rousseau","1998","LAS","WNBA","1","7","13","0","0",""
"sharpli99w","Linda Sharp","1997","LAS","WNBA","1","4","7","0","0",""
"sharpli99w","Linda Sharp","2002","PHO","WNBA","2","5","17","0","0",""
"shumajo01w","John Shumate","2003","PHO","WNBA","0","8","26","0","0",""
"stanlma99w","Marianne Stanley","2002","WAS","WNBA","0","17","15","3","2",""
"stanlma99w","Marianne Stanley","2003","WAS","WNBA","0","9","25","0","0",""
"taylode99w","Denise Taylor","1997","UTA","WNBA","0","7","21","0","0",""
"taylode99w","Denise Taylor","1998","UTA","WNBA","1","6","13","0","0",""
"thibami99w","Mike Thibault","2003","CON","WNBA","0","18","16","2","2",""
"thibami99w","Mike Thibault","2004","CON","WNBA","0","18","16","5","3",""
"thibami99w","Mike Thibault","2005","CON","WNBA","0","26","8","5","3",""
"thibami99w","Mike Thibault","2006","CON","WNBA","0","26","8","3","2",""
"thibami99w","Mike Thibault","2007","CON","WNBA","0","18","16","1","2",""
"thibami99w","Mike Thibault","2008","CON","WNBA","0","21","13","1","2",""
"thibami99w","Mike Thibault","2009","CON","WNBA","0","16","18","0","0",""
"thibami99w","Mike Thibault","2010","CON","WNBA","0","17","17","0","0",""
"thibami99w","Mike Thibault","2011","CON","WNBA","0","21","13","0","2",""
"thibami99w","Mike Thibault","2012","CON","WNBA","0","25","9","3","2",""
"thompka99w","Karleen Thompson","2004","LAS","WNBA","2","11","3","1","2",""
"thompka99w","Karleen Thompson","2007","HOU","WNBA","0","13","21","0","0",""
"thompka99w","Karleen Thompson","2008","HOU","WNBA","0","17","17","0","0",""
"vandehe99w","Heidi VanDerveer","1997","SAC","WNBA","2","5","8","0","0",""
"vandehe99w","Heidi VanDerveer","1998","SAC","WNBA","0","8","22","0","0",""
"vandehe99w","Heidi VanDerveer","2002","MIN","WNBA","2","4","9","0","0",""
"walkeda01w","Darrell Walker","2000","WAS","WNBA","2","5","7","0","2",""
"weisery99w","Ryan Weisenberg","2004","LAS","WNBA","2","11","3","1","2",""
"westhpa99w","Paul Westhead","2006","PHO","WNBA","0","18","16","0","0",""
"westhpa99w","Paul Westhead","2007","PHO","WNBA","0","23","11","7","2",""
"whisejo99w","John Whisenant","2003","SAC","WNBA","2","12","4","3","3",""
"whisejo99w","John Whisenant","2004","SAC","WNBA","0","18","16","3","3",""
"whisejo99w","John Whisenant","2005","SAC","WNBA","0","25","9","7","1",""
"whisejo99w","John Whisenant","2006","SAC","WNBA","0","21","13","6","3",""
"whisejo99w","John Whisenant","2009","SAC","WNBA","2","9","12","0","0",""
"whisejo99w","John Whisenant","2011","NYL","WNBA","0","19","15","1","2",""
"whisejo99w","John Whisenant","2012","NYL","WNBA","0","15","19","0","2",""
"willifr99w","Fred Williams","1999","UTA","WNBA","2","13","15","0","0",""
"willifr99w","Fred Williams","2000","UTA","WNBA","0","18","14","0","0",""
"willifr99w","Fred Williams","2001","UTA","WNBA","1","5","8","0","0",""
"willifr99w","Fred Williams","2012","ATL","WNBA","0","7","3","1","2",""
"willigr99w","Greg Williams","2001","DET","WNBA","0","10","22","0","0",""
"willigr99w","Greg Williams","2002","DET","WNBA","1","0","10","0","0",""
"wintebr01w","Brian Winters","2004","IND","WNBA","0","15","19","0","0",""
"wintebr01w","Brian Winters","2005","IND","WNBA","0","21","13","2","2",""
"wintebr01w","Brian Winters","2006","IND","WNBA","0","21","13","0","2",""
"wintebr01w","Brian Winters","2007","IND","WNBA","0","21","13","3","3",""
"woolror01w","Orlando Woolridge","1998","LAS","WNBA","2","5","5","0","0",""
"woolror01w","Orlando Woolridge","1999","LAS","WNBA","0","20","12","2","2",""
"zierddo99w","Don Zierden","2007","MIN","WNBA","0","10","24","0","0",""
"zierddo99w","Don Zierden","2008","MIN","WNBA","0","16","18","0","0",""
