"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
"2008","WNBA","PHO","PHO","WE","","6","N","0","","","","Phoenix Mercury","1069","2485","642","773","230","701","375","851","1226","560","794","232","489","156","3010","1036","2460","694","932","243","695","440","858","1298","650","717","234","500","129","3009","0","0","0","0","0","0","16","18","34","10","7","6","11","8","12","6825","144867","US Airways Center"
"2009","WNBA","PHO","PHO","WE","","1","Y","0","W","W","W","Phoenix Mercury","1128","2454","643","752","257","665","284","906","1190","625","740","225","500","181","3156","1094","2582","638","851","205","608","421","864","1285","607","671","260","460","143","3031","0","0","0","0","0","0","23","11","34","12","5","11","6","13","7","6900","144884","US Airways Center"
"2010","WNBA","PHO","PHO","WE","","2","Y","0","W","L","","Phoenix Mercury","1151","2432","638","752","252","701","295","920","1215","686","679","237","519","148","3192","1186","2605","571","769","245","670","397","883","1280","729","673","303","445","115","3188","0","0","0","0","0","0","15","19","34","9","8","6","11","13","9","6950","152686","US Airways Center"
"2011","WNBA","PHO","PHO","WE","","3","Y","0","W","L","","Phoenix Mercury ","1062","2303","662","778","239","641","310","884","1194","652","681","223","524","132","3025","1071","2435","553","731","228","623","346","818","1164","628","709","274","462","124","2923","0","0","0","0","0","0","19","15","34","11","6","8","9","11","11","6875","155845","US Airways Center"
"2012","WNBA","PHO","PHO","WE","","6","N","0","","","","Phoenix Mercury ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","27","34","3","14","4","13","4","18","0","132454","US Airways Center"
"1998","ABL","PHR","PHR","EA","","4","N","0","","","","Philadelphia Rage","1147","2663","688","913","255","748","476","967","1443","663","816","368","838","96","3237","1286","2831","682","878","245","642","498","967","1465","792","844","415","729","109","3499","0","0","0","0","0","0","13","31","44","8","14","5","17","8","16","8825","71238","The Palestra/The Apollo of Temple"
"1999","ABL","PHR","PHR","EA","","2","","0","","","","Philadelphia Rage","391","831","242","323","38","119","130","329","459","238","282","142","253","42","1062","345","847","230","309","60","185","139","301","440","218","294","126","263","23","980","0","0","0","0","0","0","9","5","14","5","1","4","4","6","3","2825","8968","The Palestra/The Apollo of Temple"
"2000","WNBA","POR","POR","WE","","7","N","0","","","","Portland Fire","761","1828","488","697","145","433","309","627","936","480","761","265","593","93","2155","788","1847","577","766","150","447","307","646","953","487","729","277","531","130","2303","0","0","0","0","0","0","10","22","32","6","10","4","12","4","17","6525","133076","Rose Garden Arena"
"2001","WNBA","POR","POR","WE","","7","N","0","","","","Portland Fire","733","1891","450","612","172","519","300","696","996","451","633","244","500","106","2088","791","1944","461","656","159","410","343","763","1106","501","643","293","474","144","2202","0","0","0","0","0","0","11","21","32","6","10","5","11","5","16","6525","137656","Rose Garden Arena"
"2002","WNBA","POR","POR","WE","","5","N","0","","","","Portland Fire","829","1951","410","564","127","391","307","641","948","492","623","239","493","120","2195","819","1885","463","647","126","348","334","678","1012","486","616","272","508","139","2227","0","0","0","0","0","0","16","16","32","9","7","7","9","8","13","6475","128656","Rose Garden Arena"
"1997","ABL","PRT","PRT","WE","","4","N","0","","","","Portland Power","1038","2443","627","863","124","463","641","985","1626","606","813","397","852","141","2827","1028","2435","745","983","167","480","584","932","1516","595","772","459","744","101","2968","104","92","196","87","111","198","14","26","40","10","10","4","16","11","13","8025","83343","Memorial Coliseum"
"1998","ABL","PRT","PRT","WE","","1","Y","2","","L","","Portland Power","1162","2581","649","897","184","511","521","908","1429","724","849","431","835","123","3157","1102","2543","740","980","160","464","478","871","1349","618","824","443","826","113","3104","0","0","0","0","0","0","27","17","44","16","6","11","11","20","8","8950","120473","Memorial Coliseum"
"1999","ABL","PRT","PRT","WE","","1","","0","","","","Portland Power","359","798","208","286","78","207","157","292","449","234","301","159","240","36","1004","319","730","239","328","45","134","117","283","400","155","286","106","263","34","922","0","0","0","0","0","0","9","4","13","6","1","3","3","4","4","2600","32554","Memorial Coliseum"
"1997","ABL","RIC","PHR","EA","","2","Y","3","","W","L","Richmond Rage","1129","2589","716","961","219","626","557","1012","1569","655","711","416","741","99","3193","1243","2737","555","722","215","635","620","1080","1700","764","794","387","805","85","3256","91","98","189","93","128","221","21","19","40","16","4","5","15","12","12","8075","62785","Richmond Coliseum"
"1997","WNBA","SAC","SAC","WE","","3","N","0","","","","Sacramento Monarchs","704","1732","393","536","101","345","341","538","879","404","593","263","562","60","1902","775","1738","455","628","107","315","331","587","918","514","519","290","508","114","2112","0","0","0","0","0","0","10","18","28","7","7","3","11","4","8","5650","110014","ARCO Arena (II)"
"1998","WNBA","SAC","SAC","WE","","4","N","0","","","","Sacramento Monarchs","734","1802","376","560","72","277","326","619","945","463","633","263","533","107","1916","733","1752","509","674","107","366","307","646","953","493","556","239","500","134","2082","0","0","0","0","0","0","8","22","30","5","10","3","12","5","11","6025","98677","ARCO Arena (II)"
"1999","WNBA","SAC","SAC","WE","","3","Y","0","L","","","Sacramento Monarchs","849","2006","568","847","126","421","412","700","1112","500","614","329","508","123","2392","829","1981","439","590","161","474","310","665","975","535","718","226","569","152","2258","0","0","0","0","0","0","19","13","32","11","5","8","8","9","11","6400","138009","ARCO Arena (II)"
"2000","WNBA","SAC","SAC","WE","","3","Y","0","L","","","Sacramento Monarchs","876","1993","449","650","142","459","388","650","1038","567","571","332","458","157","2343","811","1918","410","544","144","418","320","631","951","503","600","226","524","116","2176","0","0","0","0","0","0","21","11","32","13","3","8","8","13","8","6400","126841","ARCO Arena (II)"
"2001","WNBA","SAC","SAC","WE","","2","Y","0","W","L","","Sacramento Monarchs","837","1974","457","618","163","423","374","723","1097","558","588","276","494","158","2294","804","2003","415","578","116","400","343","662","1005","496","616","261","481","143","2139","0","0","0","0","0","0","20","12","32","12","4","8","8","13","8","6525","133603","ARCO Arena (II)"
"2002","WNBA","SAC","SAC","WE","","6","N","0","","","","Sacramento Monarchs","780","1945","494","653","112","395","301","648","949","500","675","247","456","109","2166","815","1944","515","681","149","453","352","723","1075","493","633","233","496","128","2294","0","0","0","0","0","0","14","18","32","10","6","4","12","8","13","6575","144179","ARCO Arena (II)"
"2003","WNBA","SAC","SAC","WE","","3","Y","0","W","L","","Sacramento Monarchs","862","2107","425","626","150","473","349","718","1067","568","641","297","461","122","2299","816","1991","435","597","149","467","345","751","1096","516","640","224","576","141","2216","0","0","0","0","0","0","19","15","34","12","5","7","10","13","11","6825","155578","ARCO Arena (II)"
"2004","WNBA","SAC","SAC","WE","","4","Y","0","W","L","","Sacramento Monarchs","874","2072","435","604","129","365","389","635","1024","519","641","314","485","118","2312","803","1872","474","631","161","458","310","676","986","513","646","241","593","117","2241","0","0","0","0","0","0","18","16","34","10","7","8","9","12","10","6900","147544","ARCO Arena (II)"
"2005","WNBA","SAC","SAC","WE","","1","Y","0","W","W","W","Sacramento Monarchs","853","1986","494","721","129","360","369","674","1043","527","684","304","500","108","2329","751","1823","478","653","113","376","273","694","967","463","723","235","622","132","2093","0","0","0","0","0","0","25","9","34","15","2","10","7","17","5","6800","145213","ARCO Arena (II)"
"2006","WNBA","SAC","SAC","WE","","2","Y","0","W","W","L","Sacramento Monarchs","919","2190","542","741","157","461","418","720","1138","509","670","330","542","88","2537","872","2021","504","661","156","507","294","725","1019","507","687","244","633","143","2404","0","0","0","0","0","0","21","13","34","14","3","7","10","10","10","6875","147739","ARCO Arena (II)"
"2007","WNBA","SAC","SAC","WE","","3","Y","0","L","","","Sacramento Monarchs","901","2214","572","745","153","429","452","723","1175","537","642","325","611","101","2527","891","2081","512","664","186","547","308","718","1026","542","689","274","649","141","2480","0","0","0","0","0","0","19","15","34","12","5","7","10","12","10","6950","142575","ARCO Arena (II)"
"2008","WNBA","SAC","SAC","WE","","4","Y","0","L","","","Sacramento Monarchs","883","2159","611","816","168","438","388","721","1109","473","690","319","586","77","2545","958","2128","469","622","186","542","308","767","1075","581","759","267","624","206","2571","0","0","0","0","0","0","18","16","34","13","4","5","12","9","11","6800","139066","ARCO Arena (II)"
"2009","WNBA","SAC","SAC","WE","","6","N","0","","","","Sacramento Monarchs","946","2194","586","744","132","389","391","763","1154","540","645","289","584","98","2610","994","2221","479","586","223","604","326","702","1028","627","704","262","576","147","2690","0","0","0","0","0","0","12","22","34","7","10","5","12","6","14","6850","131654","ARCO Arena (II)"
"2003","WNBA","SAS","SAS","WE","","6","N","0","","","","San Antonio Silver Stars","792","2068","538","736","93","315","350","795","1145","428","728","187","513","167","2215","867","2176","544","745","149","482","389","783","1172","530","669","275","424","140","2427","0","0","0","0","0","0","12","22","34","9","8","3","14","10","14","6825","176526","AT&T Center"
"2004","WNBA","SAS","SAS","WE","","7","N","0","","","","San Antonio Silver Stars","812","1940","488","628","79","247","302","701","1003","493","628","272","513","106","2191","888","2003","416","564","172","469","324","710","1034","575","624","280","492","129","2364","0","0","0","0","0","0","9","25","34","6","11","3","14","6","16","6875","142717","AT&T Center"
"2005","WNBA","SAS","SAS","WE","","7","N","0","","","","San Antonio Silver Stars","764","1833","503","652","110","339","256","690","946","433","650","195","535","90","2141","898","2059","463","611","142","408","351","704","1055","563","685","283","429","148","2401","0","0","0","0","0","0","7","27","34","5","12","2","15","3","19","6800","135054","AT&T Center"
"2006","WNBA","SAS","SAS","WE","","6","N","0","","","","San Antonio Silver Stars","915","2255","504","672","189","556","354","814","1168","540","610","246","488","83","2523","974","2262","490","640","165","459","372","865","1237","560","641","254","480","129","2603","0","0","0","0","0","0","13","21","34","6","11","7","10","10","10","6800","125749","AT&T Center"
"2007","WNBA","SAS","SAS","WE","","2","Y","0","W","L","","San Antonio Silver Stars","923","2176","464","577","207","566","323","764","1087","567","653","283","558","130","2517","904","2139","529","688","147","454","361","776","1137","516","619","257","583","137","2484","0","0","0","0","0","0","20","14","34","9","8","11","6","13","9","6875","128680","AT&T Center"
"2008","WNBA","SAS","SAS","WE","","1","Y","0","W","W","L","San Antonio Silver Stars","901","2080","561","694","183","539","246","847","1093","601","602","272","525","150","2546","904","2271","471","634","139","483","389","817","1206","500","666","278","528","109","2418","0","0","0","0","0","0","24","10","34","15","2","9","8","10","10","6850","135722","AT&T Center"
"2009","WNBA","SAS","SAS","WE","","4","Y","0","L","","","San Antonio Silver Stars","936","2190","487","626","256","739","281","768","1049","598","596","257","509","116","2615","1000","2279","488","620","173","499","364","824","1188","529","643","268","502","120","2661","0","0","0","0","0","0","15","19","34","10","7","5","12","10","10","6950","127957","AT&T Center"
"2010","WNBA","SAS","SAS","WE","","3","Y","0","L","","","San Antonio Silver Stars","972","2110","472","619","195","587","266","757","1023","599","574","255","522","84","2611","1027","2197","494","636","174","516","330","796","1126","604","616","283","489","108","2722","0","0","0","0","0","0","14","20","34","8","9","6","11","11","11","6800","136696","AT&T Center"
"2011","WNBA","SAS","SAS","WE","","4","Y","0","L","","","San Antonio Silver Stars ","969","2251","481","640","221","620","241","824","1065","617","593","286","434","124","2640","940","2200","513","642","175","500","312","946","1258","552","631","250","549","143","2568","0","0","0","0","0","0","18","16","34","9","8","9","8","11","11","6850","148767","AT&T Center"
"2012","WNBA","SAS","SAS","WE","","3","Y","0","L","","","San Antonio Silver Stars ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","13","34","12","5","9","8","14","8","0","133454","AT&T Center"
"2000","WNBA","SEA","SEA","WE","","8","N","0","","","","Seattle Storm","667","1740","379","561","109","364","256","537","793","390","648","255","525","93","1822","778","1721","498","654","117","334","288","721","1009","506","618","284","529","123","2171","0","0","0","0","0","0","6","26","32","4","12","2","14","4","17","6475","142594","KeyArena at Seattle Center"
"2001","WNBA","SEA","SEA","WE","","8","N","0","","","","Seattle Storm","689","1821","415","606","128","412","306","585","891","412","605","273","431","127","1921","753","1750","417","559","125","325","296","756","1052","492","588","228","519","127","2048","0","0","0","0","0","0","10","22","32","5","11","5","11","6","15","6550","95257","KeyArena at Seattle Center"
"2002","WNBA","SEA","SEA","WE","","4","Y","0","L","","","Seattle Storm","794","1948","418","543","182","506","362","633","995","514","623","282","477","151","2188","783","1818","435","587","102","342","307","662","969","488","563","254","531","125","2103","0","0","0","0","0","0","17","15","32","10","6","7","9","10","11","6450","111774","KeyArena at Seattle Center"
"2003","WNBA","SEA","SEA","WE","","5","N","0","","","","Seattle Storm","890","2045","442","567","166","500","342","732","1074","548","644","232","465","138","2388","844","2039","441","591","145","437","352","689","1041","456","570","245","459","104","2274","0","0","0","0","0","0","18","16","34","13","4","5","12","11","13","6850","120857","KeyArena at Seattle Center"
"2004","WNBA","SEA","SEA","WE","","2","Y","0","W","W","W","Seattle Storm","873","2025","524","676","167","439","350","709","1059","552","665","302","499","131","2437","851","1989","423","592","139","391","303","679","982","507","678","252","527","137","2264","0","0","0","0","0","0","20","14","34","13","4","7","10","13","9","6825","134291","KeyArena at Seattle Center"
"2005","WNBA","SEA","SEA","WE","","2","Y","0","L","","","Seattle Storm","906","2066","544","688","142","429","323","776","1099","520","657","201","516","158","2498","892","2163","490","646","133","419","334","686","1020","568","691","267","438","154","2407","0","0","0","0","0","0","20","14","34","14","3","6","11","13","9","6825","151150","KeyArena at Seattle Center"
"2006","WNBA","SEA","SEA","WE","","4","Y","0","L","","","Seattle Storm","961","2124","562","712","160","475","327","821","1148","514","682","232","570","127","2644","940","2218","531","707","164","484","322","709","1031","520","683","297","485","115","2575","0","0","0","0","0","0","18","16","34","9","8","9","8","10","10","6800","145664","KeyArena at Seattle Center"
"2007","WNBA","SEA","SEA","WE","","4","Y","0","L","","","Seattle Storm","964","2210","582","715","224","639","344","820","1164","533","620","242","533","151","2734","987","2321","478","586","195","528","333","761","1094","591","642","272","495","112","2647","0","0","0","0","0","0","17","17","34","12","5","5","12","11","11","6825","135553","KeyArena at Seattle Center"
"2008","WNBA","SEA","SEA","WE","","2","Y","0","L","","","Seattle Storm","899","2112","552","728","143","453","340","822","1162","530","684","269","526","140","2493","861","2164","512","680","172","539","332","760","1092","498","674","263","515","115","2406","0","0","0","0","0","0","22","12","34","16","1","6","11","13","7","6800","140503","KeyArena at Seattle Center"
"2009","WNBA","SEA","SEA","WE","","2","Y","0","L","","","Seattle Storm","909","2116","555","707","171","486","316","788","1104","536","710","276","555","150","2544","882","2150","510","671","202","585","332","746","1078","517","672","275","555","131","2476","0","0","0","0","0","0","20","14","34","13","4","7","10","13","7","7025","133858","KeyArena at Seattle Center"
"2010","WNBA","SEA","SEA","WE","","1","Y","0","W","W","W","Seattle Storm","992","2228","551","695","246","667","394","840","1234","636","704","281","524","128","2781","888","2152","550","702","186","556","308","705","1013","484","624","241","515","121","2512","0","0","0","0","0","0","28","6","34","17","0","11","6","20","2","6900","141472","KeyArena at Seattle Center"
"2011","WNBA","SEA","SEA","WE","","2","Y","0","L","","","Seattle Storm ","892","2036","439","549","213","599","269","807","1076","545","643","253","547","117","2436","885","2116","437","572","168","468","291","722","1013","509","545","269","482","127","2375","0","0","0","0","0","0","21","13","34","15","2","6","11","15","7","6800","147196","KeyArena at Seattle Center"
"2012","WNBA","SEA","SEA","WE","","4","Y","0","L","","","Seattle Storm ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","18","34","10","7","6","11","11","11","0","127266","KeyArena at Seattle Center"
"1997","ABL","SER","SER","WE","","3","N","0","","","","Seattle Reign","1045","2438","756","1046","213","592","620","1049","1669","681","812","416","889","105","3059","1127","2552","698","944","246","664","568","973","1541","706","883","447","769","91","3198","102","124","226","85","116","201","17","23","40","13","7","4","16","10","14","8025","64571","Mercer Arena in Seattle Center"
"1998","ABL","SER","SER","WE","","5","N","0","","","","Seattle Reign","1098","2601","829","1095","230","653","491","885","1376","618","821","421","901","101","3255","1278","2795","704","918","186","553","551","945","1496","709","923","505","828","101","3446","0","0","0","0","0","0","15","29","44","10","12","5","17","8","20","8850","73064","Mercer Arena in Seattle Center"
"1999","ABL","SER","SER","WE","","3","","0","","","","Seattle Reign","365","881","285","375","81","225","170","325","495","226","272","137","303","35","1096","423","956","212","286","65","208","192","322","514","246","337","162","280","30","1123","0","0","0","0","0","0","8","7","15","5","2","3","5","5","4","3050","27145","Mercer Arena in Seattle Center"
