"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
"2000","WNBA","CHA","CHA","EA","","8","N","0","","","","Charlotte Sting","812","1903","431","577","131","386","305","630","935","551","713","222","496","90","2186","879","1930","533","716","138","423","326","664","990","596","596","259","426","123","2429","0","0","0","0","0","0","8","24","32","5","11","3","13","5","16","6475","90963","Charlotte Coliseum"
"2001","WNBA","CHA","CHA","EA","","4","Y","0","W","W","L","Charlotte Sting","746","1780","410","528","153","428","309","639","948","467","605","217","474","114","2055","732","1846","431","562","114","369","344","567","911","443","579","257","447","124","2009","0","0","0","0","0","0","18","14","32","11","5","7","9","15","6","6500","105525","Charlotte Coliseum"
"2002","WNBA","CHA","CHA","EA","","2","Y","0","L","","","Charlotte Sting","770","1790","490","663","211","527","302","653","955","496","647","241","408","105","2241","778","1807","444","598","133","372","295","620","915","489","600","208","424","103","2133","0","0","0","0","0","0","18","14","32","11","5","7","9","12","9","6450","106670","Charlotte Coliseum"
"2003","WNBA","CHA","CHA","EA","","2","Y","0","L","","","Charlotte Sting","787","1881","456","590","187","517","342","629","971","499","697","279","497","115","2217","790","1902","477","667","138","407","386","621","1007","491","606","264","469","104","2195","0","0","0","0","0","0","18","16","34","13","4","5","12","12","12","6850","120061","Charlotte Coliseum"
"2004","WNBA","CHA","CHA","EA","","5","N","0","","","","Charlotte Sting","745","1744","436","590","166","459","256","616","872","426","648","210","479","134","2092","800","1932","438","587","130","349","368","628","996","516","595","243","437","114","2168","0","0","0","0","0","0","16","18","34","10","7","6","11","8","12","6900","116383","Charlotte Coliseum"
"2005","WNBA","CHA","CHA","EA","","6","N","0","","","","Charlotte Sting","772","1913","447","624","104","301","316","609","925","493","727","284","535","113","2095","851","1888","509","713","124","339","355","700","1055","496","654","269","534","146","2335","0","0","0","0","0","0","6","28","34","5","12","1","16","4","16","6945","98054","Charlotte Coliseum"
"2006","WNBA","CHA","CHA","EA","","6","N","0","","","","Charlotte Sting","864","2178","552","777","176","544","347","747","1094","527","734","315","574","155","2456","911","2149","594","791","155","465","370","870","1240","522","707","286","619","125","2571","0","0","0","0","0","0","11","23","34","7","10","4","13","6","14","6825","106942","Time Warner Cable Arena"
"1999","ABL","CHC","CHC","EA","","3","","0","","","","Chicago Condors","289","731","204","280","24","96","155","280","435","189","262","150","241","25","806","283","703","234","311","41","148","133","288","421","174","266","127","231","38","841","0","0","0","0","0","0","4","8","12","3","2","1","6","4","6","2400","23874","UIC Pavilion"
"2006","WNBA","CHI","CHI","EA","","7","N","0","","","","Chicago Sky","858","2175","449","643","157","536","357","680","1037","509","674","277","527","125","2322","971","2147","545","736","200","536","379","860","1239","623","584","262","535","120","2687","0","0","0","0","0","0","5","29","34","3","14","2","15","4","16","6800","57635","UIC Pavilion"
"2007","WNBA","CHI","CHI","EA","","6","N","0","","","","Chicago Sky","925","2277","489","723","186","544","383","782","1165","597","634","262","510","112","2525","963","2243","501","642","184","481","379","846","1225","584","683","242","566","138","2611","0","0","0","0","0","0","14","20","34","6","11","8","9","6","14","6972","66557","UIC Pavilion"
