"playerID","playerName","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","dq","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","PostDQ"
"koehnla01w","Laurie Koehn","2012","0","ATL","WNBA","23","0","112","41","2","8","10","3","2","0","6","4","41","14","0","0","39","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"korstil01w","Ilona Korstine","2001","0","PHO","WNBA","12","0","75","21","6","5","11","5","3","0","9","4","25","7","7","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kossgr01w","Greta Koss","1997","0","UTA","WNBA","13","10","268","44","12","25","37","10","9","4","18","15","29","15","16","12","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kostaan01w","Anastasia Kostaki","2006","0","HOU","WNBA","32","0","266","67","3","22","25","19","7","0","42","41","57","18","35","25","30","6","0","2","0","11","5","0","1","1","1","0","0","3","2","2","2","1","1","0","0","0"
"kostita01w","Tanja Kostic","1997","0","PRT","ABL","36","0","436","104","24","45","69","21","10","4","29","50","92","33","61","37","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kostita01w","Tanja Kostic","1998","0","CLE","WNBA","5","0","30","5","1","1","2","2","0","0","3","2","3","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kostita01w","Tanja Kostic","2000","0","MIA","WNBA","5","0","46","7","3","2","5","4","2","0","7","6","9","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kraayca01w","Cathrine Kraayeveld","2005","0","NYL","WNBA","17","0","196","69","13","14","27","5","4","8","17","21","55","23","15","14","24","9","0","2","0","37","8","2","5","7","0","0","0","2","6","3","1","6","5","1","1","0"
"kraayca01w","Cathrine Kraayeveld","2006","0","NYL","WNBA","34","13","903","298","46","112","158","32","16","15","62","71","239","106","72","55","93","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kraayca01w","Cathrine Kraayeveld","2007","0","NYL","WNBA","34","34","967","366","38","116","154","51","32","20","84","84","298","129","70","55","129","53","0","3","3","87","38","4","14","18","2","2","3","4","9","33","14","5","5","12","5","0"
"kraayca01w","Cathrine Kraayeveld","2008","0","NYL","WNBA","34","34","961","326","50","159","209","49","28","26","55","95","298","114","51","36","165","62","2","6","6","202","44","14","31","45","17","4","3","10","15","45","16","4","2","29","10","0"
"kraayca01w","Cathrine Kraayeveld","2009","0","NYL","WNBA","34","26","888","307","32","123","155","32","22","13","66","76","264","105","49","37","144","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kraayca01w","Cathrine Kraayeveld","2010","0","CHI","WNBA","34","14","722","178","24","69","93","43","21","19","48","48","180","63","24","21","98","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kraayca01w","Cathrine Kraayeveld","2011","0","CHI","WNBA","33","15","681","195","24","62","86","41","21","8","38","40","167","66","15","11","127","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kraayca01w","Cathrine Kraayeveld","2012","0","ATL","WNBA","33","1","507","152","17","75","92","28","14","16","26","32","133","56","15","5","87","35","0","3","0","19","3","2","1","3","1","0","1","1","5","1","1","0","0","1","1","0"
"kubikni01w","Nicole Kubik","2000","0","PHO","WNBA","4","0","19","6","0","2","2","2","0","0","3","4","3","1","4","4","1","0","0","2","0","5","2","0","0","0","0","0","0","1","2","2","0","2","2","0","0","0"
"kubikni01w","Nicole Kubik","2001","0","PHO","WNBA","3","0","21","2","0","2","2","5","4","0","3","7","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"kukloan01w","Andrea Kuklova","1998","0","PHO","WNBA","29","2","340","97","19","18","37","31","18","4","40","40","95","38","36","20","7","1","0","4","0","43","9","1","1","2","3","3","2","0","2","7","4","0","0","1","1","0"
